DateTime;DoctorID;Type;City;;;;
22.03.2020 08:20;3;Sugreon;Warsaw;;;;
22.03.2020 08:21;3;Sugreon;Warsaw;;;;
22.03.2020 08:22;3;Sugreon;Warsaw;;;;
22.03.2020 08:23;3;Sugreon;Warsaw;;;;
22.03.2020 08:24;3;Sugreon;Warsaw;;;;
22.03.2020 08:25;3;Sugreon;Warsaw;;;;
22.03.2020 08:26;3;Sugreon;Warsaw;;;;
22.03.2020 08:27;3;Sugreon;Warsaw;;;;
22.03.2020 08:28;3;Sugreon;Warsaw;;;;
22.03.2020 08:29;3;Sugreon;Warsaw;;;;
22.03.2020 08:30;3;Sugreon;Warsaw;;;;
22.03.2020 08:31;3;Sugreon;Warsaw;;;;
22.03.2020 08:32;3;Sugreon;Warsaw;;;;
22.03.2020 08:33;3;Sugreon;Warsaw;;;;
22.03.2020 08:34;3;Sugreon;Warsaw;;;;
22.03.2020 08:35;3;Sugreon;Warsaw;;;;
22.03.2020 08:36;3;Sugreon;Warsaw;;;;
22.03.2020 08:37;3;Sugreon;Warsaw;;;;
22.03.2020 08:38;3;Sugreon;Warsaw;;;;
22.03.2020 08:39;3;Sugreon;Warsaw;;;;
22.03.2020 08:40;3;Sugreon;Warsaw;;;;
22.03.2020 08:41;3;Sugreon;Warsaw;;;;
22.03.2020 08:42;3;Sugreon;Warsaw;;;;
22.03.2020 08:43;3;Sugreon;Warsaw;;;;
22.03.2020 08:44;3;Sugreon;Warsaw;;;;
22.03.2020 08:45;3;Sugreon;Warsaw;;;;
22.03.2020 08:46;3;Sugreon;Warsaw;;;;
22.03.2020 08:47;3;Sugreon;Warsaw;;;;
22.03.2020 08:48;3;Sugreon;Warsaw;;;;
22.03.2020 08:49;3;Sugreon;Warsaw;;;;
22.03.2020 08:50;3;Sugreon;Warsaw;;;;
22.03.2020 08:51;3;Sugreon;Warsaw;;;;
22.03.2020 08:52;3;Sugreon;Warsaw;;;;
22.03.2020 08:53;3;Sugreon;Warsaw;;;;
22.03.2020 08:54;3;Sugreon;Warsaw;;;;
22.03.2020 08:55;3;Sugreon;Warsaw;;;;
22.03.2020 08:56;3;Sugreon;Warsaw;;;;
22.03.2020 08:57;3;Sugreon;Warsaw;;;;
22.03.2020 08:58;3;Sugreon;Warsaw;;;;
22.03.2020 08:59;3;Sugreon;Warsaw;;;;
22.03.2020 09:00;3;Sugreon;Warsaw;;;;
22.03.2020 09:01;3;Sugreon;Warsaw;;;;
22.03.2020 09:02;3;Sugreon;Warsaw;;;;
22.03.2020 09:03;3;Sugreon;Warsaw;;;;
22.03.2020 09:04;3;Sugreon;Warsaw;;;;
22.03.2020 09:05;3;Sugreon;Warsaw;;;;
22.03.2020 09:06;3;Sugreon;Warsaw;;;;
10.04.2020 13:20;4;Opthomologist;Krakow;;;;
10.04.2020 13:21;4;Opthomologist;Krakow;;;;
10.04.2020 13:22;4;Opthomologist;Krakow;;;;
10.04.2020 13:23;4;Opthomologist;Krakow;;;;
10.04.2020 13:24;4;Opthomologist;Krakow;;;;
10.04.2020 13:25;4;Opthomologist;Krakow;;;;
10.04.2020 13:26;4;Opthomologist;Krakow;;;;
10.04.2020 13:27;4;Opthomologist;Krakow;;;;
10.04.2020 13:28;4;Opthomologist;Krakow;;;;
10.04.2020 13:29;4;Opthomologist;Krakow;;;;
10.04.2020 13:30;4;Opthomologist;Krakow;;;;
10.04.2020 13:31;4;Opthomologist;Krakow;;;;
10.04.2020 13:32;4;Opthomologist;Krakow;;;;
10.04.2020 13:33;4;Opthomologist;Krakow;;;;
10.04.2020 13:34;4;Opthomologist;Krakow;;;;
29.03.2020 14:00;1;GP;Warsaw;;;;
29.03.2020 14:01;1;GP;Warsaw;;;;
29.03.2020 14:02;1;GP;Warsaw;;;;
29.03.2020 14:03;1;GP;Warsaw;;;;
29.03.2020 14:04;1;GP;Warsaw;;;;
29.03.2020 14:05;1;GP;Warsaw;;;;
29.03.2020 14:06;1;GP;Warsaw;;;;
29.03.2020 14:07;1;GP;Warsaw;;;;
29.03.2020 14:08;1;GP;Warsaw;;;;
29.03.2020 14:09;1;GP;Warsaw;;;;
29.03.2020 14:10;1;GP;Warsaw;;;;
29.03.2020 14:11;1;GP;Warsaw;;;;
29.03.2020 14:12;1;GP;Warsaw;;;;
29.03.2020 14:13;1;GP;Warsaw;;;;
29.03.2020 14:14;1;GP;Warsaw;;;;
29.03.2020 14:15;1;GP;Warsaw;;;;
29.03.2020 14:16;1;GP;Warsaw;;;;
29.03.2020 14:17;1;GP;Warsaw;;;;
29.03.2020 14:18;1;GP;Warsaw;;;;
29.03.2020 14:19;1;GP;Warsaw;;;;
29.03.2020 14:20;1;GP;Warsaw;;;;
29.03.2020 14:21;1;GP;Warsaw;;;;
29.03.2020 14:22;1;GP;Warsaw;;;;
29.03.2020 14:23;1;GP;Warsaw;;;;
29.03.2020 14:24;1;GP;Warsaw;;;;
29.03.2020 14:25;1;GP;Warsaw;;;;
29.03.2020 14:26;1;GP;Warsaw;;;;
29.03.2020 14:27;1;GP;Warsaw;;;;
29.03.2020 14:28;1;GP;Warsaw;;;;
29.03.2020 14:29;1;GP;Warsaw;;;;
29.03.2020 14:30;1;GP;Warsaw;;;;
29.03.2020 14:31;1;GP;Warsaw;;;;
29.03.2020 14:32;1;GP;Warsaw;;;;
29.03.2020 14:33;1;GP;Warsaw;;;;
29.03.2020 14:34;1;GP;Warsaw;;;;
29.03.2020 14:35;1;GP;Warsaw;;;;
29.03.2020 14:36;1;GP;Warsaw;;;;
29.03.2020 14:37;1;GP;Warsaw;;;;
